nama,provinsi,kabupaten,kecamatan,ketinggian,jenis gunung,status,akses,jarak,elevation gain,latitude,longitude
gunung anjasmoro,jawa timur,mojokerto,gondang,2372,non volcanic,tidak aktif,tutup,13000,1500,7.75259,112.507563
gunung argapura,jawa timur,probolinggo,krucil,3088,dormant volcano,tidak aktif,buka,23000,2100,7.963231,113.566667
gunung argowayang,jawa timur,malang,pujon,2162,non volcanic,tidak aktif,buka,9000,1100,7.772055,112.430492
gunung arjuno,jawa timur,pasuruan,prigen,3339,stratovolcano,aktif,tutup,18900,2100,7.724149,112.589701
gunung aseupan,banten,pandeglang,mandalawangi,1174,stratovolcano,tidak aktif,buka,8500,800,6.295343,105.929573
gunung ayamayam,jawa tengah,magelang,salaman,1022,non volcanic,tidak aktif,buka,4500,400,7.632695,110.133247
gunung baluran,jawa timur,situbondo,banyuputih,1247,stratovolcano,tidak aktif,buka,13000,800,7.845411,114.362308
gunung berungkal,jawa timur,lumajang,candipuro,1040,stratovolcano,tidak aktif,buka,6000,450,8.205304,113.013525
gunung batok,jawa timur,pasuruan,tosari,2440,cinder cone,tidak aktif,tutup,3500,250,7.934641,112.948075
gunung beser,jawa tengah,temanggung,candiroto,2092,cinder cone,aktif,buka,4500,450,7.162855,110.088627
gunung betiri,jawa timur,jember,tempurejo,1233,non volcanic,tidak aktif,buka,11000,950,8.41537,113.882629
gunung bisma,jawa tengah,wonosobo,kejajar,2365,maar volcano,tidak aktif,buka,3500,350,7.238485,109.888846
gunung blego,jawa tengah,wonogiri,puhpelem,996,maar volcano,tidak aktif,buka,6000,450,7.758188,111.293826
gunung bromo,jawa timur,probolinggo,sukapura,2614,cinder cone,aktif,buka,5300,248,7.941728,112.953313
gunung bukit tunggul,jawa barat,bandung,cilengkrang,2212,stratovolcano,tidak aktif,buka,9000,900,6.810281,107.727416
gunung burangrang,jawa barat,purwakarta,bojong,2050,stratovolcano,tidak aktif,buka,11000,1100,6.773272,107.555684
gunung cadaspanjang,jawa barat,bandung,rancabali,2530,non volcanic,tidak aktif,buka,6000,550,7.125216,107.379644
gunung cakrabuana,jawa barat,tasikmalaya,lemahsugih,1721,extinct volcano,tidak aktif,buka,8000,800,7.04137,108.139295
gunung ceremai,jawa barat,majalengka,sindangwangi,3078,stratovolcano,aktif,buka,15000,2200,6.891627,108.406922
gunung cikuray,jawa barat,garut,cilawu,2821,stratovolcano,tidak aktif,buka,13000,1900,7.321734,107.860214
gunung galunggung,jawa barat,tasikmalaya,leuwisari,2240,stratovolcano,aktif,buka,6000,650,7.265772,108.071752
gunung gede,jawa barat,cianjur,pacet,2959,stratovolcano,aktif,buka,13000,1900,6.787181,106.981901
gunung guntur,jawa barat,garut,tarogong kaler,2249,stratovolcano,aktif,buka,11000,1450,7.149598,107.837371
gunung kancana,jawa barat,cianjur,gekbrong,1210,dormant volcano,tidak aktif,buka,6000,450,6.869954,107.041389
gunung kawi,jawa timur,blitar,wlingi,2551,stratovolcano,tidak aktif,buka,13000,1500,7.954362,112.465987
gunung karang,banten,pandeglang,kaduhejo,1789,stratovolcano,aktif,buka,11000,1200,6.268228,106.050086
gunung kepolo,jawa timur,lumajang,pasrujambe,3035,stratovolcano,aktif,tutup,7500,700,8.077931,112.922225
gunung lawu,jawa tengah,karanganyar,tawangmangu,3265,stratovolcano,aktif,buka,15900,1869,7.626777,111.194295
gunung merapi,jawa tengah,boyolali,pakem,2897,stratovolcano,aktif,tutup,8900,1300,7.539951,110.447011
gunung merbabu,jawa tengah,boyolali,ampel,3145,stratovolcano,tidak aktif,tutup,10800,1689,7.453636,110.441972
gunung panderman,jawa timur,kota batu,batu,2045,stratovolcano,aktif,buka,6000,550,7.903146,112.496237
gunung pangrango,jawa barat,sukabumi,kadudampit ,3023,stratovolcano,tidak aktif,buka,15000,1900,6.769105,106.963997
gunung papandayan,jawa barat,garut,cisurupan,2665,stratovolcano,aktif,buka,9000,1100,7.318303,107.732809
gunung patuha,jawa barat,bandung,rancabali,2434,stratovolcano,tidak aktif,buka,7000,550,7.160835,107.402168
gunung prau,jawa tengah,kendal,kejajar,2590,non volcanic,tidak aktif,buka,9000,600,7.033638,109.954152
gunung raung,jawa timur,bondowoso,tlogosari,3260,stratovolcano,aktif,buka,26000,2400,8.125281,114.045962
gunung salak,jawa barat,sukabumi,tamansari,2215,stratovolcano,aktif,tutup,8700,527,6.715205,106.733032
gunung semeru,jawa timur,lumajang,pasrujambe,3676,stratovolcano,aktif,tutup,31900,2380,8.106782,112.922879
gunung sindoro,jawa tengah,wonosobo,kertek,3153,stratovolcano,aktif,buka,13000,1717,7.302031,109.997035
gunung slamet,jawa tengah,pemalang,pulosari,3432,stratovolcano,aktif,buka,11700,1894,7.240622,109.215946
gunung sagara,jawa barat,garut,sucinraja,2132,stratovolcano,aktif,buka,11000,950,7.216779,108.065919
gunung tangkuban parahu,jawa barat,subang,sagalaherang,2086,stratovolcano,aktif,buka,15800,638,6.758998,107.611454
gunung talaga bodas,jawa barat,tasikmalaya,sukahening,2201,stratovolcano,aktif,buka,8000,850,7.207233,108.071845
gunung telomoyo,jawa tengah,semarang,getasan,1894,stratovolcano,tidak aktif,buka,11000,900,7.360244,110.402061
gunung tilu,jawa barat,kuningan,cibeureum,1076,non volcanic,tidak aktif,buka,9000,850,7.11808,108.699038
gunung ungaran,jawa tengah,semarang,ungaran barat,2050,stratovolcano,tidak aktif,buka,7700,876,7.182972,110.350264
gunung wayang,jawa barat,bandung,kertasari,2182,lava dome,aktif,buka,5100,531,7.210622,107.64309
gunung welirang,jawa timur,blitar,wlingi,3156,stratovolcano,aktif,tutup,16600,1425,7.915987,112.452746
gunung wilis,jawa timur,ponorogo,pulung,2563,stratovolcano,tidak aktif,buka,10900,1879,7.813271,111.762747
gunung asing,kalimantan tengah,katingan,katingan hulu,1703,non volcanic,tidak aktif,buka,9000,700,0.7207182,112.357831
gunung bawang,kalimantan barat,bengkayang,lumar,1406,non volcanic,tidak aktif,buka,19200,1301,0.9,109.4
gunung beratus,kalimantan timur,kutai barat,bongan,1244,non volcanic,tidak aktif,buka,13000,900,1.0333333,116.3333333
gunung cemaru,kalimantan timur,mahakam ulu,long apari,1681,stratovolcano,aktif,buka,9000,800,1.4,114.1983333
gunung halau halau,kalimantan selatan,hulu sungai,batang alai tim,1901,non volcanic,tidak aktif,buka,27500,1400,2.7108333,115.6258333
gunung harun,kalimantan utara,nunukan,krayan,2160,non volcanic,tidak aktif,buka,20000,1100,4.132868,115.807709
gunung kelam,kalimantan barat,sintang,kelam permai,1002,monolit,tidak aktif,buka,6000,900,0.080623,111.673724
gunung lawit,kalimantan barat,kapuas hulu,putussibau utara,1767,non volcanic,tidak aktif,buka,32500,1400,1.400643,112.967611
gunung liangpran,kalimantan timur,mahakam ulu,long pahangai,2240,non volcanic,tidak aktif,buka,42500,1800,1.067267,114.383376
gunung mesangat,kalimantan timur,kutai timur,long mesangat,1847,non volcanic,tidak aktif,buka,27500,1400,1.026054,116.168497
gunung niut,kalimantan barat,landak,air besar,1701,stratovolcano,tidak aktif,buka,35600,1583,1.003315,109.934707
gunung yile-yile,gorontalo,gorontalo utara,telaga biru,2073,non volcanic,tidak aktif,buka,22500,1500,0.749255,123.0608
gunung biawu,gorontalo,boalemo,botumoito,1919,extinct volcano,tidak aktif,buka,6000,400,0.939407,122.190892
gunung paku,gorontalo,boalemo,mananggu,1833,extinct volcano,tidak aktif,buka,11000,900,0.910752,122.083824
